title,body
How often should I bring my dog for a checkup?,"Dogs should visit the vet at least once a year for a routine wellness exam. Puppies under one year need more frequent visits — typically at 8 weeks, 12 weeks, 16 weeks, and then at 6 months for spay/neuter consultation. Senior dogs aged 7 and older benefit from bi-annual checkups since age-related conditions can develop quickly. During a wellness exam the vet will check weight, teeth, heart, lungs, skin, and update vaccinations as needed."
What vaccinations does my puppy need?,"Core vaccinations for puppies include: Distemper, Parvovirus, Adenovirus (given as a combo called DA2PP or DHPP) starting at 6–8 weeks and repeated every 3–4 weeks until 16 weeks old. Rabies vaccine is given at 12–16 weeks. Non-core vaccines like Bordetella (kennel cough), Leptospirosis, and Canine Influenza are recommended based on lifestyle and risk. Your vet will create a schedule tailored to your puppy."
What vaccinations does my cat need?,"Core vaccinations for cats include: FVRCP (Feline Viral Rhinotracheitis, Calicivirus, Panleukopenia) starting at 6–8 weeks, boosted every 3–4 weeks until 16 weeks. Rabies is required by law in most states. Non-core vaccines include FeLV (Feline Leukemia Virus) — strongly recommended for cats that go outdoors. Indoor-only cats still need core vaccines. Adults need boosters every 1–3 years depending on the vaccine type."
How often should I bring my cat for a checkup?,"Cats should have a wellness exam once a year. Kittens need visits at 8, 12, and 16 weeks for vaccinations and development checks. Senior cats aged 10 and older should be seen every 6 months. Cats are experts at hiding illness — by the time symptoms are obvious, disease may be advanced. Annual bloodwork is recommended for cats over 7 to catch kidney disease, thyroid problems, and diabetes early."
How do I know if my dog is a healthy weight?,"Use the Body Condition Score (BCS) — a 9-point scale where 4–5 is ideal. You should be able to feel your dog's ribs easily without pressing hard, but not see them visibly. Looking from above, there should be a visible waist. From the side, the abdomen should tuck up behind the ribcage. Overweight dogs (BCS 6–9) have ribs that are hard to feel and no visible waist. Obesity in dogs increases risk of diabetes, joint disease, heart disease, and cancer."
How often should I deworm my dog?,"Puppies should be dewormed at 2, 4, 6, and 8 weeks of age, then monthly until 6 months. Adult dogs should be dewormed at least 2–4 times per year depending on lifestyle. Dogs that hunt, eat wildlife, or spend time outdoors need more frequent treatment. Year-round heartworm prevention (monthly chewables or topicals) also covers some intestinal parasites. Ask your vet to run a fecal test annually to check for parasites not covered by standard dewormers."
At what age should I spay or neuter my dog?,"The traditional recommendation is 6 months for small and medium breeds. For large and giant breeds (over 45 lbs), emerging research suggests waiting until 12–18 months allows hormones to support proper skeletal development and may reduce joint disease risk. The decision depends on breed, sex, and lifestyle. Spaying before the first heat cycle significantly reduces mammary tumor risk. Your vet will recommend the best timing for your specific dog."
How do I know if my cat is in pain?,"Cats hide pain instinctively. Signs of pain include: hiding more than usual, reduced grooming or over-grooming one spot, changes in litter box habits, reduced appetite, growling or hissing when touched, reluctance to jump, squinting or partially closed eyes, flattened ears, and a hunched posture. Facial grimacing — whiskers pulled back, eyes narrowed, ears rotated — is a reliable pain indicator. If your cat is showing any of these signs, a vet visit is warranted."
What human foods are toxic to dogs?,"Foods that are toxic to dogs include: grapes and raisins (can cause kidney failure), chocolate (theobromine toxicity), xylitol (found in sugar-free gum and some peanut butter — causes liver failure and low blood sugar), onions and garlic (damage red blood cells), macadamia nuts (neurological symptoms), alcohol, caffeine, avocado, and raw yeast dough. Even small amounts of xylitol or grapes can be life-threatening. If ingested, contact your vet or ASPCA Poison Control immediately."
What human foods are toxic to cats?,"Foods toxic to cats include: onions and garlic (destroy red blood cells), raw fish (destroys vitamin B1 causing neurological problems), grapes and raisins (kidney failure), chocolate and caffeine, xylitol, alcohol, and raw eggs. Tuna in large amounts can cause mercury poisoning and nutritional deficiency. Milk and dairy cause digestive upset in most adult cats who are lactose intolerant. Bones from fish or poultry can splinter and cause internal injury."
How often should I brush my dog's teeth?,"Daily brushing is ideal — dental disease is the most common health problem in dogs, affecting 80% of dogs over age 3. Use a dog-specific toothbrush and toothpaste (never human toothpaste — xylitol is toxic). If daily brushing isn't possible, 3–4 times per week makes a significant difference. Dental chews, water additives, and dental diets provide supplemental support but do not replace brushing. Professional dental cleanings under anesthesia are recommended annually or as your vet advises."
How long do dogs and cats live?,"Small dogs (under 20 lbs) typically live 12–16 years. Medium dogs (20–50 lbs) live 10–14 years. Large dogs (50–90 lbs) live 8–12 years. Giant breeds (over 90 lbs) average 6–10 years. Cats typically live 12–18 years, with indoor cats often reaching 15–20 years. Mixed breed animals often live longer than purebreds due to greater genetic diversity. Proper nutrition, regular vet care, dental hygiene, and healthy weight significantly extend lifespan."
My dog is limping — what could it be?,"Limping in dogs can range from minor to serious. EMERGENCY — seek immediate care if: the dog cannot bear any weight, the limb is visibly deformed or swollen, there is an open wound or bone visible, the dog cries constantly, or the dog was hit by a vehicle. URGENT — see vet within 24 hours if: limping has persisted more than 24 hours, swelling is present, or the dog is licking the leg obsessively. ROUTINE — schedule appointment if: mild limping that comes and goes, especially in older dogs (may indicate arthritis). Common causes include: thorn or cut in paw pad, sprained ligament, cruciate ligament tear (very common in dogs), hip dysplasia, arthritis, bone fracture, or Lyme disease."
My dog is vomiting — is it an emergency?,"EMERGENCY — call emergency vet immediately if: vomiting blood or material that looks like coffee grounds, dry heaving without producing vomit (bloat — life-threatening in large breeds), bloated or distended abdomen with retching, vomiting after eating something toxic, dog is collapsed or unresponsive, or vomiting combined with extreme lethargy. URGENT — see vet within 12 hours if: vomiting more than 3 times in 24 hours, vomiting combined with diarrhea, dog cannot keep water down. ROUTINE — monitor at home if: one or two isolated vomiting episodes, dog is alert and active, vomiting stops within a few hours. Withhold food for 4–6 hours then offer small amounts of bland food (boiled chicken and rice)."
My cat is vomiting — when should I be concerned?,"Occasional vomiting in cats (1–2 times per month) is common and often related to hairballs or eating too fast. EMERGENCY — seek immediate care if: vomiting blood, vomiting combined with complete lethargy, inability to stand, vomiting after known toxin exposure, or abdomen appears swollen and painful. URGENT — see vet within 24 hours if: vomiting more than 3 times in one day, cat has not eaten in 24 hours, vomiting combined with weight loss, or yellow/green bile is present. ROUTINE — monitor if: single episode, cat is alert and interested in food, no other symptoms. Note: cats should never go more than 24–48 hours without eating — hepatic lipidosis (fatty liver disease) can develop rapidly."
My dog is not eating — what does it mean?,"EMERGENCY — seek care immediately if: dog has not eaten for more than 48 hours AND is lethargic, vomiting, or has diarrhea. Also seek emergency care if the dog ate something potentially toxic or a foreign object. URGENT — see vet within 24 hours if: complete food refusal lasting more than 24 hours in a dog that normally has a good appetite, or loss of appetite combined with excessive thirst, weight loss, or pale gums. ROUTINE — monitor for 24 hours if: mild appetite reduction, no other symptoms, dog is alert and active. Common causes: dental pain (very common — check for bad breath), nausea, stress or anxiety, new food introduced too quickly, infection, kidney or liver disease."
My cat is not using the litter box — what does it mean?,"Litter box avoidance in cats is one of the most common reasons for vet visits and always warrants investigation. EMERGENCY — seek immediate care if: male cat is straining to urinate and producing no urine (urinary blockage — life-threatening within hours), crying in pain when trying to urinate, or blood in urine combined with straining. URGENT — see vet within 24 hours if: cat is urinating frequently in small amounts, crying while urinating, licking genitals excessively, or avoiding the box completely. ROUTINE — schedule appointment if: occasional accidents outside the box, box aversion that developed gradually. Common causes: urinary tract infection, bladder stones, stress-related idiopathic cystitis, kidney disease, or behavioral issues."
My dog has diarrhea — when is it serious?,"EMERGENCY — seek immediate care if: diarrhea contains large amounts of blood (red or black/tarry), dog is collapsed or extremely weak, diarrhea combined with vomiting and the dog cannot keep water down, or diarrhea in a puppy under 6 months that continues more than 12 hours. URGENT — see vet within 24 hours if: diarrhea has lasted more than 48 hours, dog is showing signs of dehydration (sunken eyes, dry gums, skin that does not spring back when pinched), or there is a small amount of blood in stool. ROUTINE — home management if: single episode of loose stool, dog is alert and drinking water. Withhold food for 12 hours, then feed small amounts of bland food. Ensure access to fresh water to prevent dehydration."
My dog is scratching excessively — what are the causes?,"Excessive scratching in dogs is almost always due to one of four causes: allergies (environmental, food, or flea), skin infection (bacterial or yeast), parasites (fleas, mites, mange), or dry skin. EMERGENCY — not typically an emergency unless skin is severely broken, infected, and the dog has a fever. URGENT — see vet within 48 hours if: skin is raw, bleeding, or has oozing sores, hair loss is significant, or the dog is scratching to the point of self-injury. ROUTINE — schedule appointment if: chronic itching, seasonal patterns, or the dog has been on flea prevention and is still scratching. Common areas affected: ears (yeast), paws (allergies), base of tail (fleas), armpits and groin (environmental allergies)."
My cat has stopped grooming — what does it mean?,"Cats spend up to 50% of waking hours grooming. A sudden stop in grooming is always a sign that something is wrong. EMERGENCY — seek care immediately if: combined with complete lethargy, refusal to eat, or labored breathing. URGENT — see vet within 24 hours if: coat has become matted or greasy over days, cat appears stiff or painful when trying to reach parts of its body, or the cat appears generally unwell. ROUTINE — schedule appointment if: gradual coat decline over weeks. Common causes: arthritis (pain prevents reaching certain areas), obesity (cannot physically reach areas), dental pain, depression or stress, systemic illness such as kidney disease, hyperthyroidism, or diabetes."
Signs that always require emergency veterinary care,"The following symptoms in any pet — dog, cat, or other — always require immediate emergency veterinary care and should not wait until the next morning: seizures or convulsions, collapse or sudden inability to stand, severe difficulty breathing or open-mouth breathing in cats, suspected poisoning or toxin ingestion, uncontrolled bleeding, bloated or distended abdomen especially with retching or dry heaving, eye injury or sudden loss of vision, suspected broken bones, urinary blockage especially in male cats, pale or white gums, extreme sudden lethargy or unresponsiveness, and trauma from a vehicle, fall from height, or animal attack. When in doubt, always call the emergency vet — it is always better to call and be told it can wait than to wait and have the condition become life-threatening."
My dog is drinking excessively — what does it mean?,"Excessive drinking (polydipsia) in dogs is a clinically significant symptom that warrants a vet visit within 24–48 hours. It is rarely an emergency on its own but is often an early sign of serious underlying disease. Common causes include: diabetes mellitus (also shows excessive urination and weight loss despite good appetite), Cushing's disease (also shows pot belly, hair loss, increased appetite), kidney disease (also shows weight loss and poor appetite), pyometra in unspayed females (life-threatening uterine infection — also shows lethargy and vaginal discharge), liver disease, and hypercalcemia. Your vet will run bloodwork and urinalysis to identify the cause. Note the approximate amount your dog is drinking — this helps the vet assess severity."
What is Apoquel used for?,"Apoquel (oclacitinib) is an oral medication used in dogs to control itching and inflammation associated with allergic skin disease, including atopic dermatitis (environmental allergies) and allergic dermatitis from flea or food allergies. It works by targeting specific enzymes (JAK inhibitors) involved in the itch-and-inflammation signal pathway rather than suppressing the entire immune system. It typically starts working within 4 hours and provides significant relief within 24 hours. Apoquel is approved for dogs over 12 months of age. It is a prescription medication — a valid vet-client-patient relationship and prescription are required. Common side effects are uncommon but may include vomiting, diarrhea, and lethargy. It should not be used in dogs with serious infections or cancer."
What is Cytopoint and how is it different from Apoquel?,"Cytopoint (lokivetmab) is an injectable biologic medication for dogs that treats atopic dermatitis (environmental allergies) and associated itching. It works by targeting and neutralizing canine IL-31, a key protein that triggers the itch signal. A single injection provides relief for 4–8 weeks in most dogs. Unlike Apoquel, which is a daily oral medication, Cytopoint is administered at the vet clinic every 4–8 weeks. It is considered very safe because it acts like a natural antibody rather than a drug, and has minimal systemic side effects. Some dogs respond better to Apoquel, others to Cytopoint — vets sometimes use both together for severe cases. Both require a prescription and vet-client-patient relationship."
What is Heartgard and how does heartworm prevention work?,"Heartgard (ivermectin + pyrantel) is a monthly chewable heartworm preventive for dogs. Heartworms are parasites transmitted by mosquitoes that live in the heart and pulmonary arteries. Heartgard does not kill adult heartworms — it kills the larval stage (microfilariae) that mosquitoes deposit during a bite, preventing them from developing into adults. It must be given every 30 days year-round for reliable protection. Before starting or restarting heartworm prevention, a heartworm blood test is required — giving preventives to a dog with adult heartworms can cause a life-threatening reaction. Heartgard also treats and controls roundworms and hookworms. It requires a prescription."
What is NexGard used for?,"NexGard (afoxolaner) is a monthly oral chewable for dogs that kills fleas and ticks. It works by over-stimulating the nervous system of parasites through a mechanism that is highly selective for insects and arachnids and has minimal effect on mammals. It starts killing fleas within 4 hours and ticks within 8 hours of administration. It is effective against black-legged ticks (which carry Lyme disease), American dog ticks, brown dog ticks, and lone star ticks. NexGard is prescription-only, approved for dogs 8 weeks and older weighing over 4 lbs. It should not be used in dogs with a history of seizures without vet guidance. It does not prevent heartworm — a separate heartworm preventive is needed."
What is Carprofen (Rimadyl) used for in dogs?,"Carprofen (brand name Rimadyl) is a non-steroidal anti-inflammatory drug (NSAID) used in dogs to relieve pain and inflammation. It is commonly prescribed for osteoarthritis, post-surgical pain, and soft tissue pain. It works by inhibiting prostaglandins, the chemicals responsible for pain and inflammation. Carprofen should always be given with food to reduce stomach upset. It requires a prescription and regular monitoring — long-term use requires periodic bloodwork to check liver and kidney function. It should never be combined with other NSAIDs or steroids. Signs of adverse reaction include vomiting, diarrhea, black tarry stools, jaundice, or behavioral changes — stop medication and contact your vet immediately if these occur. Never give human NSAIDs (ibuprofen, aspirin, naproxen) to dogs — they are toxic."
What is Metronidazole used for in dogs and cats?,"Metronidazole (brand names Flagyl, Metrobactin) is an antibiotic and antiprotozoal medication used in both dogs and cats to treat a range of gastrointestinal conditions. It is commonly prescribed for diarrhea caused by bacterial overgrowth, Giardia infection, Clostridium infection, and inflammatory bowel disease. It works by disrupting the DNA of anaerobic bacteria and parasites. It requires a prescription. Common side effects include drooling, nausea, and vomiting — giving with food usually helps. Neurological side effects (wobbling, disorientation) are rare but serious and require stopping the medication immediately. It should not be used in pregnant animals. The typical course is 5–10 days depending on the condition."
What is Gabapentin used for in pets?,"Gabapentin is a medication used in dogs and cats for two main purposes: pain management and seizure control. For pain, it is commonly used for chronic neuropathic pain, arthritis, and post-surgical discomfort. It is often used alongside NSAIDs for multimodal pain management. For seizures, it is used as an add-on medication when primary anti-epileptic drugs do not fully control seizures. In cats it is also widely used as a pre-visit sedative to reduce anxiety and stress during vet appointments. Side effects include sedation and mild incoordination, especially when first starting. It requires a prescription. The dose varies significantly depending on the purpose — pain management doses are typically lower than seizure control doses."
What is Revolution (selamectin) used for?,"Revolution (selamectin) is a topical monthly parasiticide applied to the skin at the back of the neck. In dogs, it prevents heartworm disease, kills adult fleas, prevents flea eggs from hatching, and treats ear mites and sarcoptic mange. In cats, it prevents heartworm, kills adult fleas, prevents flea eggs from hatching, treats ear mites, roundworms, and hookworms. It is absorbed through the skin into the bloodstream and distributed to skin, tissues, and GI tract. It is generally well tolerated — temporary hair loss at the application site is occasionally seen. It requires a prescription. Do not apply to broken skin or bathe the pet within 2 hours of application."
What is Prednisone used for in dogs and cats?,"Prednisone and prednisolone are corticosteroids (steroids) used in dogs and cats to reduce inflammation and suppress the immune system. They are prescribed for a wide range of conditions including severe allergic reactions, immune-mediated diseases (immune-mediated hemolytic anemia, immune-mediated thrombocytopenia), inflammatory bowel disease, asthma in cats, certain cancers, Addison's disease, and severe skin conditions. They are powerful medications with significant side effects on long-term use including increased thirst and urination, increased appetite, weight gain, muscle wasting, and increased susceptibility to infection. They should never be stopped abruptly — dose must be tapered under vet guidance. They should not be combined with NSAIDs. Requires a prescription."
What is Onsior used for in cats?,"Onsior (robenacoxib) is a non-steroidal anti-inflammatory drug (NSAID) specifically approved for cats to control pain and inflammation after soft tissue surgery. It is available as tablets or injection. It is one of very few NSAIDs approved for use in cats — most human and dog NSAIDs are toxic to cats due to their different metabolism. The tablet form is typically given for up to 3 days post-surgery. Like all NSAIDs, it should not be combined with steroids or other NSAIDs. It should not be used in cats with kidney disease, liver disease, or gastrointestinal problems. Requires a prescription. Never give dogs' NSAIDs to cats — even a single dose of carprofen or meloxicam at the wrong dose can cause acute kidney failure in cats."
¿Con qué frecuencia debo llevar a mi perro al veterinario?,"Los perros deben visitar al veterinario al menos una vez al año para un examen de bienestar de rutina. Los cachorros menores de un año necesitan visitas más frecuentes: generalmente a las 8 semanas, 12 semanas, 16 semanas y luego a los 6 meses. Los perros mayores de 7 años se benefician de chequeos cada 6 meses, ya que las condiciones relacionadas con la edad pueden desarrollarse rápidamente. Durante el examen, el veterinario revisará el peso, los dientes, el corazón, los pulmones, la piel y actualizará las vacunas según sea necesario."
¿Qué alimentos son tóxicos para los perros?,"Los alimentos tóxicos para perros incluyen: uvas y pasas (pueden causar insuficiencia renal), chocolate (toxicidad por teobromina), xilitol (presente en chicles sin azúcar y algunas mantequillas de maní — causa insuficiencia hepática y bajada de azúcar), cebollas y ajos (dañan los glóbulos rojos), nueces de macadamia, alcohol, cafeína, aguacate y masa de levadura cruda. Incluso pequeñas cantidades de xilitol o uvas pueden ser mortales. Si su perro ingirió alguno de estos alimentos, comuníquese con su veterinario o con el Control de Envenenamiento de la ASPCA de inmediato."
Mi perro está cojeando — ¿qué podría ser?,"La cojera en perros puede variar de leve a grave. EMERGENCIA — busque atención inmediata si: el perro no puede apoyar ningún peso, la extremidad está visiblemente deformada o hinchada, hay una herida abierta o hueso visible, el perro llora constantemente, o fue atropellado por un vehículo. URGENTE — consulte al veterinario en 24 horas si: la cojera persiste más de 24 horas, hay hinchazón, o el perro lame obsesivamente la pata. RUTINA — programe una cita si: cojera leve que va y viene, especialmente en perros mayores (puede indicar artritis). Causas comunes: espina o corte en la almohadilla, esguince, desgarro del ligamento cruzado, displasia de cadera, artritis o fractura ósea."
Mi perro está vomitando — ¿es una emergencia?,"EMERGENCIA — llame al veterinario de emergencias de inmediato si: vomita sangre o material parecido a posos de café, hace arcadas sin producir vómito (dilatación gástrica — mortal en razas grandes), tiene el abdomen distendido con arcadas, vomitó algo tóxico, está colapsado o no responde. URGENTE — consulte en 12 horas si: vomita más de 3 veces en 24 horas, el vómito se combina con diarrea, o no puede retener agua. RUTINA — vigile en casa si: uno o dos episodios aislados, el perro está alerta y activo. Retire el alimento durante 4–6 horas y luego ofrezca pequeñas cantidades de comida blanda (pollo hervido con arroz)."
¿Para qué se usa el Apoquel?,"Apoquel (oclacitinib) es un medicamento oral que se usa en perros para controlar el picor y la inflamación asociados con enfermedades alérgicas de la piel, como la dermatitis atópica y la dermatitis alérgica por pulgas o alimentos. Actúa dirigiéndose a enzimas específicas (inhibidores JAK) involucradas en la señal de picor e inflamación. Generalmente comienza a actuar en 4 horas y brinda un alivio significativo en 24 horas. Está aprobado para perros mayores de 12 meses. Es un medicamento con receta — se requiere una relación válida veterinario-cliente-paciente. Los efectos secundarios son poco comunes pero pueden incluir vómitos, diarrea y letargo."
¿Para qué se usa el Heartgard?,"Heartgard (ivermectina + pirantel) es un preventivo masticable mensual contra el gusano del corazón en perros. Los gusanos del corazón son parásitos transmitidos por mosquitos que viven en el corazón y las arterias pulmonares. Heartgard no mata los gusanos adultos — mata la etapa larval que los mosquitos depositan durante la picadura. Debe administrarse cada 30 días durante todo el año. Antes de comenzar el preventivo, se requiere una prueba de sangre para detectar gusanos del corazón. Heartgard también trata y controla los áscaris y los anquilostomas. Requiere receta médica."
